Date,County Name,Partially Covered,Fully Covered,Additional Dose
12/30/2020,Clinton,55,,
02/19/2021,Cambria,485,341,
02/13/2021,Susquehanna,37,6,
11/05/2021,Lawrence,105,59,240
12/19/2020,Elk,1,,
12/19/2020,Forest,4,,
12/19/2020,Greene,1,,
12/19/2020,Huntingdon,10,,
04/03/2021,Mercer,221,527,
07/07/2021,Clearfield,74,110,
03/29/2021,Berks,1560,787,
06/06/2021,Monroe,46,92,
08/13/2021,Mercer,89,70,2
08/05/2021,Somerset,90,88,
01/18/2021,Delaware,933,247,
11/03/2021,Snyder,12,21,120
05/05/2021,Venango,48,78,
05/09/2021,Allegheny,185,560,
12/19/2020,Pike,3,,
12/19/2020,Potter,1,,
12/19/2020,Snyder,13,,
12/19/2020,Susquehanna,3,,
12/19/2020,Tioga,4,,
02/12/2021,Blair,1229,284,
12/19/2020,Venango,41,,
12/19/2020,Warren,14,,
12/19/2020,Wayne,11,,
08/27/2021,Indiana,58,46,9
12/19/2020,Wyoming,5,,
10/14/2021,Philadelphia,526,298,283
08/27/2021,Pike,64,46,25
02/11/2021,Erie,1338,651,
12/20/2020,Armstrong,9,,
02/05/2021,Lycoming,487,200,
12/20/2020,Blair,7,,
02/25/2021,Venango,59,117,
06/30/2021,Erie,114,242,
03/06/2021,Blair,274,355,
12/20/2020,Clarion,3,,
12/20/2020,Clearfield,6,,
12/20/2020,Clinton,12,,
08/31/2021,Chester,288,379,162
12/20/2020,Crawford,5,,
03/20/2021,Erie,587,317,
11/02/2021,Centre,110,52,510
06/26/2021,Armstrong,19,44,
12/20/2020,Elk,1,,
01/22/2021,Out-of-State,3124,537,
12/20/2020,Fayette,2,,
12/28/2020,Lackawanna,1003,,
03/29/2021,Union,81,97,
12/20/2020,Indiana,3,,
12/20/2020,Jefferson,1,,
12/20/2020,Juniata,2,,
04/09/2021,Allegheny,5879,10696,
12/20/2020,Mercer,1,,
12/20/2020,Mifflin,24,,
07/28/2021,Out-of-State,574,344,
04/18/2021,Bedford,234,7,
06/03/2021,Fayette,77,172,
12/20/2020,Pike,2,,
